
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/01/02	2077.07	2103.53	2074.88	2103.46	18650746	14599877632.00
2001/01/03	2108.25	2123.90	2105.49	2123.89	17157673	18199506944.00
2001/01/04	2125.48	2127.41	2113.17	2117.40	13423541	14704513024.00
2001/01/05	2117.66	2125.38	2114.05	2125.30	13288175	15279360000.00
2001/01/08	2128.60	2131.98	2092.09	2102.06	14787085	16322580480.00
2001/01/09	2099.32	2111.10	2082.84	2101.13	11649338	11961120768.00
2001/01/10	2102.08	2125.67	2102.06	2125.61	12916883	13466763264.00
2001/01/11	2129.61	2131.36	2117.02	2119.14	14072209	15104985088.00
2001/01/12	2116.84	2117.72	2100.27	2104.74	10660882	11404471296.00
2001/01/15	2097.09	2097.09	2030.28	2032.44	14998588	14112385024.00
2001/01/16	2018.29	2045.94	2007.70	2045.88	11583722	10803420160.00
2001/01/17	2046.37	2048.69	2031.75	2034.58	7324134	6883815936.00
2001/01/18	2033.68	2049.35	2033.57	2043.11	10341571	8913571840.00
2001/01/19	2046.58	2067.87	2046.54	2065.60	11831264	9318027264.00
2001/02/05	2069.85	2072.54	2005.68	2008.03	8974243	7827932160.00
2001/02/06	1999.72	1999.72	1956.17	1995.31	9528427	8394835968.00
2001/02/07	1995.60	1998.25	1978.59	1979.93	5882229	5378365952.00
2001/02/08	1977.55	1986.89	1926.40	1930.13	8885737	7956579840.00
2001/02/09	1935.18	1963.32	1935.18	1956.97	11237019	8405287936.00
2001/02/12	1958.65	1961.81	1935.58	1961.22	7203075	6802570240.00
2001/02/13	1962.52	1973.99	1958.99	1963.52	5403514	5318757888.00
2001/02/14	1962.73	1966.84	1956.42	1963.20	4382153	4323174912.00
2001/02/15	1963.44	1966.92	1944.56	1946.47	4506756	4397334016.00
2001/02/16	1942.04	1942.12	1911.87	1941.96	6750209	6347095040.00
2001/02/19	1942.57	1969.34	1935.65	1967.55	5846083	5439099904.00
2001/02/20	1969.77	1980.38	1947.25	1953.21	6435934	6580742144.00
2001/02/21	1948.41	1948.41	1901.20	1909.32	7617817	7654377984.00
2001/02/22	1901.99	1922.45	1893.78	1907.26	5054734	5336662016.00
2001/02/23	1906.91	1936.63	1906.55	1936.34	6209740	5815827968.00
2001/02/26	1940.77	1954.77	1935.54	1954.69	7624348	7163294208.00
2001/02/27	1956.27	1962.28	1946.98	1962.04	7398593	6875915776.00
